numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07149;20240831060000;101920;10;3;20;3.600000;288.750000;287.250000;91;8000;3;2;2;90;7;450;35;mq;mq;100850;mq;mq;-40;288.250000;mq;291.350000;mq;mq;mq;mq;5.600000;7.300000;-10;1;0.000000;0.000000;-60;0.000000;0.000000;0.000000;-0.100000;7.600000;mq;mq;mq;mq;7;6;330;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07168;20240831060000;101820;30;3;320;2.600000;290.750000;290.150000;96;3670;10;mq;mq;100;8;3720;mq;mq;mq;100430;mq;mq;-20;289.850000;mq;297.250000;mq;291.150000;mq;mq;3.200000;3.200000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;3720;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07181;20240831060000;101900;30;3;30;1.300000;290.150000;289.650000;97;130;45;mq;mq;101;9;30;mq;mq;mq;97830;mq;mq;50;289.450000;mq;298.950000;mq;285.350000;mq;mq;1.800000;2.200000;-10;mq;mq;mq;mq;0.200000;0.200000;0.200000;0.200000;0.200000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07190;20240831060000;101910;60;3;360;2.700000;292.250000;289.850000;86;21900;0;mq;mq;mq;0;mq;mq;mq;mq;100140;mq;mq;140;291.350000;mq;300.250000;mq;290.450000;mq;mq;3.700000;3.900000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07207;20240831060000;101720;-80;6;80;4.900000;290.250000;289.450000;95;mq;mq;2;mq;mq;mq;mq;mq;mq;mq;101210;mq;mq;-240;289.350000;mq;290.250000;mq;mq;mq;mq;7.700000;11.400000;-10;mq;mq;mq;mq;0.000000;0.000000;-0.100000;0.200000;5.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07222;20240831060000;101700;-50;5;70;4.200000;290.150000;289.150000;94;7790;0;mq;mq;100;8;150;mq;mq;mq;101390;mq;mq;-170;290.150000;mq;291.250000;mq;289.750000;mq;mq;6.600000;6.600000;-10;1;0.000000;mq;mq;0.000000;0.000000;-0.100000;0.200000;2.600000;mq;mq;mq;mq;8;mq;150;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07240;20240831060000;101760;-60;5;70;3.600000;289.950000;289.750000;99;2270;10;mq;mq;100;8;80;mq;mq;mq;100440;mq;mq;-110;289.850000;mq;292.150000;mq;289.950000;mq;mq;5.300000;7.700000;-10;2;0.000000;mq;mq;0.200000;1.400000;1.400000;2.600000;21.500000;mq;mq;mq;mq;8;mq;90;mq;9;mq;mq;mq;mq;mq;mq;mq;
07255;20240831060000;101720;0;5;360;1.100000;290.850000;290.650000;99;260;45;mq;mq;mq;mq;mq;mq;mq;mq;99780;mq;mq;-40;290.450000;mq;297.550000;mq;289.750000;mq;mq;1.800000;1.800000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07280;20240831060000;101730;50;3;350;2.500000;294.250000;292.350000;89;12930;0;mq;mq;mq;0;mq;mq;mq;mq;99190;mq;mq;40;292.750000;mq;300.750000;mq;293.050000;mq;mq;4.400000;4.400000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07299;20240831060000;101870;80;3;320;1.000000;292.350000;292.050000;98;5300;0;mq;mq;100;8;250;mq;mq;mq;98710;mq;mq;100;289.950000;mq;299.850000;mq;293.250000;mq;mq;1.500000;2.500000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;210;mq;mq;mq;mq;mq;mq;mq;mq;mq;
